id,course_name,teacher_name
138,地域おこし実践論,北村 森
139,基礎英語Ⅰ,靱江 静、白須 洋子、井上 麻里
140,基礎英語Ⅱ,靱江 静、白須 洋子、井上 麻里
141,中級英語Ⅰ,石巻 賢作、白須 洋子、井上 麻里
142,中級英語Ⅱ,石巻 賢作、白須 洋子、井上 麻里
143,上級英語Ⅰ-A,白須 洋子、石巻 賢作、井上 麻里
144,上級英語Ⅰ-B,白須 洋子、石巻 賢作、井上 麻里
145,上級英語Ⅱ-A,白須 洋子、石巻 賢作、井上 麻里
146,中国語入門A,任 鉄華
147,中国語応用B,任 鉄華
