id,subject_title,subject_body,course_id
38,移動と行列,"第1章 対称移動・平行移動と行列
第2章 回転移動と行列
第3章 対称移動の応用と行列の積
第4章 空間座標の応用

",3
39,さまざまな行列,"第1章 対角行列・単位行列
第2章 上三角行列・下三角行列
第3章 対称行列・交代行列
第4章 逆行列・正則行列

",3
40,連立一次方程式(1),"第1章 連立一次方程式の計算
第2章 逆行列と連立一次方程式の解(1)
第3章 逆行列と連立一次方程式の解(2)
第4章 連立一次方程式と行列

",3
41,行列式,"第1章 逆行列と行列式 
第2章 行列式の性質 
第3章 因子行列と逆行列 
第4章 クラメルの公式

",3
42,連立一次方程式(2),"第1章 拡大係数行列と掃きだし法 
第2章 掃きだし法と逆行列 
第3章 行列の階数と連立一次方程式の解(1) 
第4章 行列の階数と連立一次方程式の解(2)

",3
43,線形空間,"第1章 線形空間とは 
第2章 一次独立と一次従属 
第3章 基底と次元 
第4章 まとめ

",3
44,オリエンテーション,"第1章 本科目の概要
第2章 演習課題の進め方
第3章 【任意課題】 ブロックに慣れよう
第4章 【必須課題】 飛行機の座席数を計算する
第5章 第1回のまとめと補足

",4
45,条件を与える,"第1章 演習課題の進め方
第2章 【必須課題】 迷路から抜けるには?
第3章 第2回のまとめと補足

",4
46,何度も繰り返す,"第1章 演習課題の進め方
第2章 【必須課題】 亀に絵を描かせる
第3章 第3回のまとめと補足

",4
47,さまざまな条件,"第1章 演習課題の進め方
第2章 【必須課題】 鳥の帰宅計画
第3章 第4回のまとめと補足

",4
48,アニメーションに挑戦,"第1章 演習課題の進め方
第2章 【必須課題】 図形を動かす
第3章 第5回のまとめと補足

",4
49,繰り返しの応用(1),"第1章 演習課題の進め方
第2章 【任意課題】「出力、入力、変数、繰り返し」の練習
第3章 【必須課題】 入力に従って「サイバー階段」を出力せよ
第4章 第6回のまとめと補足

",4
50,繰り返しの応用(2),"第1章 条件と繰り返し
第2章 【任意課題】 条件分岐の復習と発展
第3章 【任意課題】 条件分岐と繰り返しの組み合わせ
第4章 【必須課題】 3の倍数も5の倍数も「3と5の公倍数」も判別
第5章 第7回のまとめと補足

",4
51,たくさんのデータ,"第1章 演習課題の進め方
第2章 【任意課題】はじめてのリスト
第3章 【任意課題】文字列とリスト
第4章 【必須課題】回文判定マシーン
第5章 第8回のまとめと補足

",4
52,偶然を扱う,"第1章 任意課題の進め方
第2章 【任意課題】乱数の練習
第3章 第9回のまとめと補足

",4
53,制作課題,"第1章 作品づくりと「関数」
第2章 ディベート課題への参加方法
第3章 「作品づくりの場」

",4
54,JavaScriptによる記述(1),"第1章 任意課題の進め方
第2章 まずブロックで書いてみる
第3章 JavaScriptエディタを使う
第4章 第11回のまとめと補足

",4
55,JavaScriptによる記述(2),"第1章 JavaScript と条件分岐
第2章 Blocklyで書く
第3章 JavaScriptエディタへ
第4章 第12回のまとめと補足

",4
56,JavaScriptによる記述(3),"第1章 JavaScript と繰り返し
第2章 Blocklyで書く
第3章 JavaScriptエディタへ
第4章 第13回のまとめと補足

",4
57,JavaScriptによる記述(4),"第1章 「リスト、乱数、関数」とJavaScript
第2章 Blocklyで書く
第3章 JavaScriptエディタへ
第4章 第14回のまとめと補足

",4
58,まとめ,"第1章 さようなら Blockly
第2章 今回はJavaScriptエディタのみ
第3章 全ての回のまとめと補足

",4
59,オリエンテーション／コンピュータの歴史（１）,"第1章 オリエンテーション
第2章 計算器から計算機へ
第3章 コンピュータの登場
第4章 練習問題

",5
60,コンピュータの種類と情報処理,"第1章 CPUの進化とPCの歴史
第2章 組込みシステム
第3章 スーパーコンピュータ
第4章 クラウドコンピューティング

",5
61,社会と情報処理,"第1章 社会におけるコンピュータ
第2章 コンピュータによる問題
第3章 セキュリティ
第4章 事例

",5
62,コンピュータの基本構成（１）,"第1章 コンピュータの基本構成
第2章 練習問題１
第3章 入力装置と出力装置、記憶装置
第4章 練習問題２

",5
63,コンピュータの基本構成（２）,"第1章 主記憶装置（１）
第2章 練習問題１
第3章 主記憶装置（２）
第4章 練習問題２

",5
64,コンピュータの基本構成（３）,"第1章 中央処理装置（１）
第2章 練習問題１
第3章 中央処理装置（２）
第4章 練習問題２

",5
65,データとメモリ（１）,"第1章 2進数の計算とn進数
第2章 練習問題１
第3章 2進数による整数と小数の表現
第4章 練習問題２

",5
66,データとメモリ（２）,"第1章 データ形式
第2章 練習問題１
第3章 データ記録方法
第4章 練習問題２

",5
67,補助記憶装置の仕組み,"第1章 HDDの仕組み
第2章 練習問題１
第3章 SSDの仕組み
第4章 練習問題２

",5
68,コンピュータの仕組み（PC/AT）（１）,"第1章 PC/ATのアーキテクチャー（１）
第2章 練習問題１
第3章 PC/ATのアーキテクチャー（２）
第4章 練習問題２

",5
69,コンピュータの仕組み（PC/AT）（２）,"第1章 PC/ATを組み立てる１
第2章 PC/ATを組み立てる２
第3章 PC/ATを組み立てる３
第4章 BIOSの機能と設定

",5
70,ソフトウェア（１）,"第1章 ソフトウェアとは
第2章 練習問題1 
第3章 データベース 
第4章 練習問題2

",5
71,ソフトウェア（２）,"第1章 オペレーティングシステムとは
第2章 練習問題1
第3章 オペレーティングシステムの機能
第4章 練習問題2

",5
72,ソフトウェア（３）,"第1章 プログラミング言語
第2章 練習問題1
第3章 言語処理系
第4章 練習問題2

",5
73,まとめ,"第1章 基本情報技術者試験の概要 
第2章 問題演習1
第3章 問題演習2
第4章 まとめ

",5
74,オリエンテーション,"第1章 オリエンテーション(1)
第2章 オリエンテーション(2)
第3章 インターネット入門の復習(1)
第4章 インターネット入門の復習(2)

",6
75,パケット通信,"第1章 ネットワーク通信の概念(1)
第2章 ネットワーク通信の概念(2)
第3章 パケット(1)
第4章 パケット(2)

",6
76,ネットワークの階層モデル(1),"第1章 二つのネットワーク階層モデルとその構造
第2章 階層モデルの上位階層
第3章 トランスポート層
第4章 ネットワーク層

",6
77,ネットワークの階層モデル(2),"第1章 データリンク層(1)
第2章 データリンク層(2)
第3章 物理層(1)
第4章 物理層(2)

",6
78,TCPとUDP,"第1章 TCP(1)
第2章 TCP(2)
第3章 TCP(3)
第4章 UDP

",6
79,IP,"第1章 IP
第2章 IPアドレス(1)
第3章 IPアドレス(2)
第4章 IPアドレス(3)
第5章 ARP・RARP

",6
80,IPv6,"第1章 IPv4アドレスの枯渇と対策
第2章 NATとNAPT
第3章 IPv6(1)
第4章 IPv6(2)

",6
81,Ethernetとブロードバンド,"第1章 Ethernet
第2章 ADSL
第3章 PPP
第4章 PPPoE

",6
82,DNS(1),"第1章 ドメイン構造
第2章 DNS(1)
第3章 DNS(2)
第4章 DNS(3)

",6
83,DNS(2),"第1章 DNS(4)
第2章 nslookup
第3章 ゾーン転送
第4章 DNSの逆引き・ゾーン情報の更新

",6
84,電子メール,"第1章 メール転送(1)
第2章 メール転送(2) SMTP
第3章 メール転送(3) POP3
第4章 メール転送(4) IMAP

",6
85,HTTPとHTTPS,"第1章 HTTP(1)
第2章 HTTP(2)
第3章 HTTP(3)
第4章 HTTP(4)

",6
86,telnetとFTP,"第1章 telnet
第2章 FTP(1)
第3章 FTP(2)
第4章 FTP(3)

",6
87,ICMPとSNMP,"第1章 ICMP(1)
第2章 ICMP(2)
第3章 SNMP(1)
第4章 SNMP(2)

",6
88,経路制御,"第1章 経路制御
第2章 ルーティングプロトコル
第3章 SSL
第4章 SSH

",6
89,オリエンテーション,"第1章 本講義の目的
第2章 本講義の構成
第3章 インターネットの世界(1)
第4章 インターネットの世界(2)

",7
90,Webってなに？,"第1章 Webってなんだろう
第2章 Webを見るには
第3章 Webでできること
第4章 Webを作るには

",7
91,Webを作るための技術「HTML5」,"第1章 HTML5には二種類ある
第2章 HTML 1からHTML 4まで
第3章 広義のHTML5とは
第4章 狭義のHTML5とは

",7
92,HTML5をはじめよう,"第1章 タグと要素
第2章 ドキュメントタイプの指定
第3章 文字コードの指定
第4章 検索エンジンへの対応

",7
93,HTML5でページの大まかな構造を決める,"第1章 ヘッダー・フッタの要素
第2章 グローバルナビゲーションの要素
第3章 メインコンテンツの要素(1)
第4章 メインコンテンツの要素(2)

",7
94,コンテンツのHTML5 (1),"第1章 見出しの要素
第2章 段落の要素
第3章 箇条書きの要素
第4章 その他のHTML要素

",7
95,コンテンツのHTML5 (2),"第1章 リンクの要素
第2章 入力フォームの要素(1)
第3章 入力フォームの要素(2)
第4章 診断と進捗の要素

",7
96,CSS3をはじめよう,"第1章 CSSの書き方
第2章 CSSの設置方法
第3章 セレクタ
第4章 プロパティ

",7
97,コンテンツをデザインするCSS,"第1章 文字を装飾するプロパティ
第2章 段落を装飾するプロパティ
第3章 段組をするプロパティ
第4章 背景を装飾するプロパティ

",7
98,デザインを豊かにするCSS3,"第1章 影を作ろう
第2章 角を丸くしよう
第3章 背景をグラデーションに
第4章 鏡で反射したようなデザイン

",7
99,コンテンツを変形するCSS3,"第1章 コンテンツを変形するとは
第2章 回転させよう
第3章 伸縮させよう
第4章 移動させよう

",7
100,アニメーションのCSS3,"第1章 CSS3アニメーションの実装(1)
第2章 CSS3アニメーションの実装(2)
第3章 3次元表示させよう
第4章 3次元のアニメーション

",7
101,Webでプログラミング,"第1章 JavaScriptはプログラミング
第2章 JavaScriptでできること
第3章 変数という「箱」
第4章 「もし～なら」

",7
102,JavaScriptがWebでできること,"第1章 「要素の取得」
第2章 Webページへの出力
第3章 データの入力
第4章 計算機を作ろう

",7
103,Webの可能性,"第1章 位置情報のAPI
第2章 描画のAPI
第3章 ゲーム、スマホアプリ、IoT
第4章 総括

",7
104,オリエンテーション,"第1章 セキュリティの重要性
第2章 セキュリティの基本概念
第3章 セキュリティ対策の基本的な考え方
第4章 セキュリティ被害にあった場合の対応

",8
105,ネットワークの基本知識とセキュリティ,"第1章 ハードウェアとセキュリティ
第2章 OSとソフトウェア
第3章 ネットワークとインターネット
第4章 TCP/IP

",8
106,マルウェア,"第1章 コンピュータウイルス
第2章 トロイの木馬
第3章 スパイウェア
第4章 ランサムウェア

",8
107,サイバー攻撃の手法,"第1章 インジェクション攻撃
第2章 クロスサイト攻撃
第3章 偽証攻撃
第4章 DoS攻撃

",8
108,暗号化,"第1章 パケットスニファリング
第2章 共通鍵暗号方式
第3章 公開鍵暗号方式
第4章 証明書と認証局

",8
109,認証技術,"第1章 パスワード認証
第2章 鍵認証
第3章 認証連携
第4章 高度な認証

",8
110,セキュリティ事件の事例,"第1章 個人情報流出の事件
第2章 データ改ざんの事件
第3章 不正請求の事件
第4章 サイバーテロの事件

",8
111,パソコンのセキュリティ,"第1章 アンチウイルスソフトウェアの導入
第2章 ウェブブラウザのセキュリティ
第3章 デスクトップOSのセキュリティ対策
第4章 その他の対策

",8
112,電子メールのセキュリティ,"第1章 暗号化プロトコル
第2章 メールを介した攻撃対策
第3章 スパムメール対策
第4章 Webメール

",8
113,スマートフォンのセキュリティ,"第1章 認証設定
第2章 無線の暗号化
第3章 スマートフォンのマルウェア
第4章 プライバシー保護

",8
114,サーバ・ネットワークのセキュリティ,"第1章 パケットフィルタリング
第2章 セキュリティのためのサーバ運用
第3章 LinuxOSのセキュリティ
第4章 高度なセキュリティ対策

",8
115,Webサービスのセキュリティ,"第1章 SSL/TLS
第2章 インジェクション攻撃の対策
第3章 アクセス制御
第4章 Webサービスの高度なセキュリティ対策

",8
116,情報漏洩対策と法律,"第1章 個人情報保護と法律
第2章 不正アクセス行為の禁止等に関する法律
第3章 刑法
第4章 サイバーセキュリティ基本法

",8
117,セキュリティポリシーの作成と運用,"第1章 情報セキュリティマネジメントとポリシーの意義	
第2章 セキュリティポリシーの策定	
第3章 セキュリティ対策の実施	
第4章 運用	

",8
118,総括と未来の展望,"第1章 IoTのセキュリティ
第2章 人工知能とセキュリティ
第3章 ブロックチェーン
第4章 未来の展望とセキュリティの責務

",8
119,オリエンテーション,"第1章 講義概要
第2章 C言語の復習１
第3章 C言語の復習２
第4章 演習：乱数データの作成

",9
120,データの探索１～線形探索～,"第1章 線形探索
第2章 番人の利用
第3章 表の探索
第4章 演習：線形探索プログラム

",9
121,データの探索２～二分探索～,"第1章 二分探索
第2章 アルゴリズムの性能
第3章 探索アルゴリズムの比較
第4章 演習：二分探索プログラム

",9
122,単純な並べ替え１～交換ソート～,"第1章 バブルソート
第2章 コムソート
第3章 交換ソートの性能
第4章 演習：交換ソートのプログラム

",9
123,単純な並べ替え２～挿入ソート～,"第1章 基本挿入法
第2章 シェルソート
第3章 挿入ソートの性能
第4章 演習：挿入ソートのプログラム

",9
124,単純な並べ替え３～選択ソート～,"第1章 基本選択法
第2章 基本選択法の性能
第3章 レコードの並べ替え
第4章 演習：選択ソートのプログラム

",9
125,文字列の検索１～単純検索法～,"第1章 単純検索法
第2章 KMP法
第3章 複数箇所の検索
第4章 演習：単純検索法のプログラム

",9
126,文字列の検索２～ボイヤー・ムーア法～,"第1章 ボイヤー・ムーア法１
第2章 ボイヤー・ムーア法２
第3章 文字列検索アルゴリズムの比較
第4章 演習：ボイヤー・ムーア法のプログラム

",9
127,再帰アルゴリズム,"第1章 再帰呼び出し
第2章 ユークリッドの互除法
第3章 ハノイの塔
第4章 演習：再帰を利用したプログラム

",9
128,高度な並べ替え１～クイックソート～,"第1章 クイックソート１
第2章 クイックソート２
第3章 クイックソートの性能
第4章 演習：クイックソートのプログラム

",9
129,高度な並べ替え２～マージソート～,"第1章 マージソート１
第2章 マージソート２
第3章 マージソートの性能
第4章 演習：マージソートのプログラム

",9
130,データ構造１～リスト～,"第1章 動的メモリ確保
第2章 リスト
第3章 リストの応用
第4章 演習：リストを利用したプログラム

",9
131,データ構造２～スタックとキュー～,"第1章 スタック
第2章 キュー
第3章 リストによる実装
第4章 演習：スタックとキューを利用したプログラム

",9
132,データ構造３～ツリー～,"第1章 木構造
第2章 二分探索木
第3章 木の巡回法
第4章 演習：ツリーを利用したプログラム

",9
133,データ構造４～ハッシュ～,"第1章 ハッシュ法の概要
第2章 ハッシュ法の実装
第3章 学習の振り返り
第4章 演習：ハッシュを利用したプログラム

",9
134,オリエンテーション,"第1章 「C言語」とは何か
第2章 演習の進め方
第3章 【演習】演習環境を使ってみよう
第4章 今回の学び

",10
135,画面に表示しよう,"第1章 画面に表示しよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
136,キーボードの入力を使おう,"第1章 キーボードの入力を使おう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
137,計算させよう,"第1章 計算させよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
138,処理を分岐させよう,"第1章 処理を分岐させよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
139,処理を分岐させよう２,"第1章 処理を分岐させよう２
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
140,処理を自動で繰り返しさせよう,"第1章 処理を自動で繰り返しさせよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
141,処理を自動で繰り返しさせよう２,"第1章 処理を自動で繰り返しさせよう２
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
142,一度にたくさんデータを扱おう,"第1章 一度にたくさんデータを扱おう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
143,処理をまとめよう,"第1章 処理をまとめよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
144,メモリのアドレスを利用しよう,"第1章 プログラムが""速い""とは何か
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
145,文字列を操作しよう,"第1章 文字列を操作しよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
146,異なるデータもひとまとめ,"第1章 異なるデータもひとまとめ
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
147,ファイルを利用しよう,"第1章 ファイルを利用しよう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 今回の学び

",10
148,「美しいコード」を書こう,"第1章 「美しいコード」を書こう
第2章 【演習】自分で打ち込んで動かしてみる
第3章 本科目のまとめ

",10
149,Javaの初歩,"第1章 プログラミングの概要
第2章 ソースファイル
第3章 変数とデータ入出力
第4章 演算

",11
150,条件分岐,"第1章 条件分岐の概要
第2章 if文による条件分岐（1）
第3章 if文による条件分岐（2）
第4章 switch文による条件分岐

",11
151,まとめの演習 （1）,"第1章 これまでの復習と補足事項
第2章 演習

",11
152,繰り返し,"第1章 繰り返しの概要
第2章 for文による繰り返し
第3章 while文による繰り返し
第4章 多重ループ

",11
153,配列,"第1章 配列の概要
第2章 配列の基本
第3章 配列の利用
第4章 2次元配列

",11
154,文字列処理,"第1章 文字と文字列
第2章 文字列の基本
第3章 文字列の処理
第4章 文字列の配列

",11
155,まとめの演習 （2）,"第1章 これまでの復習と補足事項
第2章 演習

",11
156,メソッド,"第1章 メソッドの概要
第2章 メソッドの作成と利用
第3章 配列を扱うメソッド
第4章 メソッドの多重定義

",11
157,クラス （1）,"第1章 クラスの概要
第2章 クラスとインスタンス
第3章 コンストラクタ
第4章 クラスの作成

",11
158,クラス （2）,"第1章 クラスの復習
第2章 カプセル化
第3章 クラスフィールドとクラスメソッド
第4章 クラスの継承

",11
159,まとめの演習 （3）,"第1章 これまでの復習と補足事項
第2章 演習

",11
160,パッケージ,"第1章 パッケージの概要
第2章 パッケージの利用
第3章 パッケージの作成
第4章 アクセス制御

",11
161,例外処理,"第1章 例外処理の概要
第2章 例外
第3章 例外処理（1）
第4章 例外処理（2）

",11
162,ファイル処理,"第1章 ファイル処理の概要
第2章 ファイル入力
第3章 ファイル出力
第4章 まとめ

",11
163,オリエンテーション,"第1章 講義概要
第2章 数の表現
第3章 演算の表現
第4章 演習

",12
164,数の世界,"第1章 指数と対数
第2章 N進法
第3章 ２進法
第4章 演習

",12
165,情報の価値,"第1章 場合の数
第2章 確率
第3章 情報量
第4章 演習

",12
166,論理の世界,"第1章 推論
第2章 命題と証明
第3章 命題論理
第4章 演習

",12
167,0と1の世界,"第1章 ブール代数
第2章 論理式
第3章 スイッチ回路
第4章 演習

",12
168,論理回路の基礎,"第1章 論理回路の基礎１
第2章 論理回路の基礎２
第3章 論理素子
第4章 演習

",12
169,組み合わせ回路,"第1章 標準形
第2章 論理式の簡単化
第3章 カルノー図
第4章 【任意】演習

",12
170,演算と記憶,"第1章 ビット演算
第2章 算術演算
第3章 フリップ・フロップ
第4章 演習

",12
171,想像の機械,"第1章 自動販売機のモデル
第2章 オートマトンの基礎
第3章 狼・山羊・キャベツの運び方
第4章 演習

",12
172,オートマトンの世界,"第1章 オートマトンと言語
第2章 オートマトンの応用
第3章 チューリング・マシン
第4章 演習

",12
173,偶然の起こりやすさ,"第1章 確率論の基礎
第2章 条件付き確率
第3章 確率過程
第4章 【任意】演習

",12
174,一筆書きの不思議,"第1章 ケーニヒスブルクの七つの橋
第2章 グラフの基礎
第3章 オイラー路
第4章 演習

",12
175,近道探し,"第1章 最短経路問題
第2章 ハミルトン路
第3章 巡回セールスマン問題
第4章 演習

",12
176,組み合わせ探し,"第1章 畳の敷き詰め
第2章 マッチング問題
第3章 重み付きマッチング
第4章 演習

",12
177,グラフのいろいろ,"第1章 木
第2章 グラフの定義と行列表現
第3章 本科目のまとめ
第4章 演習

",12
178,オリエンテーション,"第1章 イントロダクション
第2章 UNIXの仕組みと歴史
第3章 演習環境の枠組み
第4章 演習

",13
179,UNIXの基本操作（１）,"第1章 ログインとログアウト
第2章 ディレクトリを調べる
第3章 ディレクトリを管理する
第4章 演習

",13
180,UNIXの基本操作（２）,"第1章 アカウントを管理する
第2章 ファイルを管理する
第3章 環境を設定する
第4章 演習

",13
181,シェルスクリプト（１） ー基礎知識,"第1章 シェルの種類と役割
第2章 シェルの環境設定
第3章 標準入出力
第4章 演習

",13
182,シェルスクリプト（２） ー関数の利用,"第1章 シェルスクリプトの作成と実行
第2章 シェルスクリプトの関数機能
第3章 変数及び文字列の扱い
第4章 演習

",13
183,シェルスクリプト（３） ー制御の構文,"第1章 その他のデータの扱い
第2章 制御文の基礎
第3章 様々な繰り返し処理
第4章 演習

",13
184,ファイルの操作（１） ー基本操作と圧縮・解凍,"第1章 パスとファイル名の操作
第2章 ファイルの状態を調べる
第3章 ファイルの圧縮・解凍
第4章 演習

",13
185,ファイルの操作（２） ー権限管理と分割・結合,"第1章 ファイルの権限管理
第2章 テキストファイル内容の操作
第3章 ファイルの分割と結合
第4章 演習

",13
186,ファイルの操作（３） ー正規表現と検索,"第1章 ワイルドカードによる検索
第2章 正規表現による検索
第3章 sedとawkコマンドの使い方
第4章 演習

",13
187,UNIXのテキスト編集,"第1章 viの仕組みと基本操作
第2章 viの編集操作
第3章 viの検索と置換操作
第4章 演習

",13
188,UNIXのネットワーク操作（１）ーローカル編,"第1章 SSHでのリモートホスト操作
第2章 ファイルの暗号化転送
第3章 簡単なネットワーク操作
第4章 演習

",13
189,UNIXのネットワーク操作（２）ーインターネット編,"第1章 ネットワークの管理
第2章 サーバ監視ツール
第3章 電子メールの送受信
第4章 演習

",13
190,セキュリティ管理,"第1章 セキュリティの基礎知識
第2章 UNIXのセキュリティ対策
第3章 セキュリティ管理ツール
第4章 演習

",13
191,CUI/GUI及びプロセス管理,"第1章 CUIとGUIの仕組み
第2章 プロセスの開始と終了
第3章 プロセスの中断と優先順位指定
第4章 演習

",13
192,システム管理,"第1章 スクリプトの定期実行
第2章 システムログの管理と利用
第3章 システムのバックアップ
第4章 演習

",13
193,オリエンテーション,"第1章 講義の進め方と学習方法
第2章 質的データ・量的データ
第3章 度数分布表とヒストグラム
第4章 実践編・ヒストグラムを作る

",14
194,基本統計量,"第1章 平均値，中央値，最頻値
第2章 分散と標準偏差
第3章 標準変化量と偏差値
第4章 実践編・偏差値を求める

",14
195,確率,"第1章 母集団・標本
第2章 確率・確率分布
第3章 一様分布・二項分布・正規分布
第4章 実践編・確率

",14
196,統計的推定,"第1章 標準正規分布
第2章 統計的推定の基礎
第3章 信頼区間・区間推定
第4章 実践編・区間推定をする

",14
197,統計的検定,"第1章 統計的検定
第2章 t検定(対応なし)(1)
第3章 t検定(対応なし)(2)
第4章 実践編・t検定

",14
198,t検定,"第1章 等分散を仮定しないt検定
第2章 F検定
第3章 t検定(対応あり)
第4章 実践編・t検定(対応あり)

",14
